,Time,Open,High,Low,Close,Volume
194,1583016720000,8624.96,8626.0,8624.81,8626.0,10.987143
195,1583016780000,8626.0,8632.43,8625.96,8632.12,11.31273
196,1583016840000,8631.98,8635.0,8631.29,8634.56,9.793047
197,1583016900000,8634.59,8634.59,8630.2,8631.11,14.118678
198,1583016960000,8630.77,8634.5,8630.16,8633.14,20.031653
199,1583017020000,8632.72,8634.72,8631.76,8632.39,9.260975
200,1583017080000,8632.39,8633.94,8631.12,8632.39,6.358136
201,1583017140000,8633.67,8634.76,8632.45,8634.65,9.368446
202,1583017200000,8634.94,8635.0,8632.7,8634.85,12.129303
203,1583017260000,8634.59,8638.99,8632.89,8636.16,77.226538
204,1583017320000,8636.16,8650.0,8634.44,8645.87,52.36929
205,1583017380000,8646.06,8649.96,8643.27,8646.85,18.498079
206,1583017440000,8648.42,8659.96,8646.63,8651.95,63.726751
207,1583017500000,8651.95,8654.35,8645.55,8649.25,14.88073
208,1583017560000,8649.25,8654.07,8633.2,8639.56,72.676051
209,1583017620000,8639.43,8643.33,8633.63,8639.74,12.896466
210,1583017680000,8639.86,8641.94,8636.16,8637.67,9.317615
211,1583017740000,8637.87,8638.88,8633.94,8635.12,11.643642
212,1583017800000,8635.12,8641.49,8634.32,8639.89,12.600995
213,1583017860000,8639.88,8642.92,8639.73,8641.46,8.893705
214,1583017920000,8641.57,8642.42,8638.47,8641.02,16.979295
215,1583017980000,8641.95,8643.33,8640.05,8642.41,6.777444
216,1583018040000,8642.41,8642.41,8633.6,8634.97,8.525918
217,1583018100000,8634.96,8635.04,8631.26,8635.04,14.425971
218,1583018160000,8635.04,8640.87,8633.73,8635.76,29.207497
219,1583018220000,8635.75,8638.85,8634.74,8638.85,17.004908
220,1583018280000,8638.85,8640.68,8636.29,8638.8,5.516083
221,1583018340000,8637.86,8641.53,8636.71,8640.18,6.145136
222,1583018400000,8640.15,8643.12,8639.83,8642.18,5.978522
223,1583018460000,8642.06,8645.22,8641.17,8645.05,6.586141
224,1583018520000,8645.05,8649.92,8645.05,8649.66,8.057021
225,1583018580000,8649.66,8649.66,8647.79,8648.84,4.060224
226,1583018640000,8648.87,8649.92,8642.53,8643.41,9.131952
227,1583018700000,8643.72,8643.72,8632.68,8634.48,10.880849
228,1583018760000,8634.18,8635.74,8630.0,8630.82,12.976767
229,1583018820000,8630.0,8630.0,8621.8,8623.01,10.84344
230,1583018880000,8623.94,8631.53,8622.07,8626.6,11.440469
231,1583018940000,8626.53,8628.88,8625.49,8628.0,4.051724
232,1583019000000,8628.0,8628.64,8625.64,8626.57,5.349117
233,1583019060000,8626.82,8627.84,8620.0,8620.01,40.518902
234,1583019120000,8620.0,8620.01,8607.56,8619.75,35.812361
235,1583019180000,8618.39,8620.0,8615.01,8615.31,6.363325
236,1583019240000,8615.3,8616.79,8601.79,8606.36,19.122438
237,1583019300000,8606.95,8612.36,8605.63,8608.53,11.040691
238,1583019360000,8608.47,8614.36,8604.0,8604.62,14.321047
239,1583019420000,8604.44,8604.47,8554.16,8573.11,361.576029
240,1583019480000,8571.77,8577.71,8560.97,8571.52,53.14468
241,1583019540000,8571.86,8574.41,8552.0,8555.64,149.060327
242,1583019600000,8562.16,8569.17,8559.64,8565.88,43.750847
243,1583019660000,8567.18,8574.97,8556.71,8564.05,68.026905
244,1583019720000,8565.3,8570.42,8559.27,8564.55,15.995472
245,1583019780000,8564.69,8567.25,8561.37,8563.33,17.8225
246,1583019840000,8563.3,8572.81,8559.25,8570.47,20.434697
247,1583019900000,8570.68,8584.98,8570.68,8577.8,33.890486
248,1583019960000,8577.8,8579.51,8572.9,8575.89,18.4928
249,1583020020000,8578.3,8578.36,8575.0,8576.51,14.358786
250,1583020080000,8576.51,8576.51,8555.34,8558.44,34.708732
251,1583020140000,8557.92,8557.92,8550.0,8550.0,73.32382
252,1583020200000,8550.0,8553.13,8540.0,8548.94,153.014597
253,1583020260000,8547.68,8551.8,8540.19,8550.7,26.465822
254,1583020320000,8549.59,8564.78,8549.0,8549.66,22.099781
255,1583020380000,8549.67,8569.2,8549.67,8567.49,24.10862
256,1583020440000,8567.49,8567.5,8550.92,8556.25,17.171015
257,1583020500000,8554.77,8554.83,8548.11,8549.13,14.210387
258,1583020560000,8549.14,8553.9,8540.0,8541.18,25.153581
259,1583020620000,8541.01,8542.21,8531.23,8531.3,35.63978
260,1583020680000,8534.16,8537.26,8528.46,8534.11,38.251672
261,1583020740000,8534.7,8534.99,8523.55,8523.61,58.359411
